RECORDING_SESSION_LABEL	list	Lang_order	DELE	MELICET	dominance	cs_use_exp
101	1	SCS2_E2	36	41	0.87804878	4
102	2	SCS2_E2	34	47	0.723404255	3.25
3	3	E2_SCS2	30	46	0.652173913	3.5
4	4	E2_SCS2	27	47	0.574468085	2.5
5	5	E1_SCS1	30	47	0.638297872	3.75
6	6	SCS2_E2	45	33	1.363636364	3
7	1	SCS2_E1	27	44	0.613636364	4.25
8	2	SCS2_E1	42	43	0.976744186	3.25
9	3	E1_SCS1	29	46	0.630434783	3.75
10	4	E1_SCS1	44	44	1	3.75
11	5	E2_SCS2	29	45	0.644444444	3
12	6	E2_SCS2		46	0	3.5
13	1	E2_SCS1		46	0	5
14	2	E2_SCS1	33	43	0.76744186	3.25
